id,tempo,genre,duration_ms,energy,loudness,acousticness,album_name,macro_genre,instrumentalness,liveness,artists,popularity,speechiness,danceability,mode,valence,name,key
0000vdREvCVMxbQTkS888c,104.042,german,160725.0,0.374,-9.844,0.0757,Lolly,Regional,0.00301,0.154,Rill,44.0,0.199,0.91,0.0,0.432,Lolly,8.0
000Iz0K615UepwSJ5z2RE5,119.997,minimal-techno,515360.0,0.56,-13.264,0.00114,X,Electronic,0.181,0.111,Paul Kalkbrenner;Pig&Dan,22.0,0.0462,0.686,0.0,0.108,Böxig Leise - Pig & Dan Remix,5.0
000RDCYioLteXcutOjeweY,161.721,hip-hop,190203.0,0.77,-3.537,0.0583,Teeje Week,Hip-Hop/R&B,0.0,0.0825,Jordan Sandhu,62.0,0.19,0.679,1.0,0.839,Teeje Week,0.0
000qpdoc97IMTBvF8gwcpy,129.971,minimal-techno,331240.0,0.431,-13.606,0.000964,Zeit,Electronic,0.72,0.0916,Paul Kalkbrenner,19.0,0.0291,0.519,0.0,0.234,Tief,6.0
0017A6SJgTbfQVU2EtsPNo,97.091,rock,235440.0,0.401,-10.068,0.279,Trip,Rock,0.0117,0.0887,Barbie's Cradle,41.0,0.0236,0.682,1.0,0.566,Pangarap,2.0
0017XiMkqbTfF2AUOzlhj6,173.912,comedy,127040.0,0.78,-9.449,0.792,Busy Being Awesome,Spoken,0.0,0.735,Chad Daniels,24.0,0.945,0.536,0.0,0.452,Thanksgiving Chicken,5.0
001APMDOl3qtx1526T11n1,143.064,chill,176320.0,0.471,-6.644,0.316,New RnB,Ambient/Chill,1.37e-06,0.117,Pink Sweat$;Kirby,0.0,0.107,0.613,0.0,0.406,Better,1.0
001YQlnDSduXd5LgBd66gT,183.571,punk-rock,177266.0,0.921,-4.589,0.0194,Soda Stereo (Remastered),Alternative,0.0881,0.329,Soda Stereo,38.0,0.0758,0.554,1.0,0.7,El Tiempo Es Dinero - Remasterizado 2007,2.0
001pyq8FLNSL1C8orNLI0b,91.321,bluegrass,214600.0,0.29,-11.942,0.261,O.C.M.S.,Folk/Country,0.0,0.125,Old Crow Medicine Show,30.0,0.0272,0.58,1.0,0.497,Poor Man,2.0
002qpSULhHAw6DGqFxbaO1,159.974,happy,410666.0,0.95,-9.744,0.00122,Disco 2001,Mood,0.826,0.0613,Tokyo Ghetto Pussy,17.0,0.0433,0.531,0.0,0.553,Love Generation,9.0
002uYDBLOvJz21C4FuArDS,174.986,drum-and-bass,252342.0,0.888,-2.544,0.0051,Find Me (Remixes),Electronic,0.002,0.186,Sigma;Birdy,20.0,0.0685,0.415,0.0,0.146,Find Me - Sigma VIP Remix,5.0
002xjHwzEx66OWFV2IP9dk,150.863,r&b,197286.0,0.704,-6.242,0.0651,The Others,Hip-Hop/R&B,0.0,0.212,RIKA,15.0,0.0347,0.582,1.0,0.698,The Others,5.0
003lo4y8gOylAqDs2scLx2,180.055,idm,177166.0,0.978,-0.647,0.081,Dominator - We Will Prevail,Electronic,0.000755,0.33,Dither,21.0,0.45,0.553,1.0,0.306,Addiction,8.0
004G9E3EZhxxn5aE9yEQqx,88.419,punk-rock,180713.0,0.779,-8.103,0.00301,"Pappo's Blues, Vol. 3",Alternative,0.161,0.283,Pappo's Blues,36.0,0.0361,0.393,0.0,0.525,Sandwiches de Miga,5.0
004h8smbIoAkUNDJvVKwkG,140.035,emo,219482.0,0.331,-13.457,0.131,Loners Diary,Alternative,0.0,0.225,Ouse;Powfu,58.0,0.0557,0.808,1.0,0.337,Lovemark,5.0
004iWPkSRbvOEvAPLWHl9M,117.765,honky-tonk,146493.0,0.214,-10.258,0.825,Definitive Hits,Folk/Country,0.0,0.0624,Ernest Tubb;The Wilburn Brothers,13.0,0.0328,0.638,1.0,0.405,Mister Love,9.0
004s3t0ONYlzxII9PLgU6z,135.225,rock,373512.0,0.88,-4.739,0.0117,Love & Loss,Rock,0.00994,0.347,Steady Rollin,28.0,0.0442,0.303,1.0,0.404,I Feel Alive,9.0
0051nJ5xbRu8kuqPTYa9l7,110.067,industrial,258760.0,0.761,-10.731,0.0183,The Best Of Pigface,Electronic,0.0154,0.354,Pigface,20.0,0.0591,0.65,1.0,0.355,"Hips, Tits, Lips, Power!",4.0
005NLlv3rClEVqeoSyYTHU,120.036,j-dance,281333.0,0.667,-3.975,0.473,Things change but not all,Regional,0.0,0.0908,Leola,20.0,0.0382,0.797,1.0,0.286,キミが好きで、、、,7.0
005U5ZHLoA4OEkWewAa32S,107.06,grindcore,56200.0,0.968,-11.194,0.00435,Discography 1991-1993,Metal,0.779,0.37,Dropdead,14.0,0.102,0.268,1.0,0.402,Strength In Your Conviction,4.0
0068lzo1xXa9ED8ThypHU1,121.973,french,154426.0,0.532,-6.798,0.363,Got You On My Mind,Regional,1.59e-06,0.0842,Horizon Blue;Carston,58.0,0.0386,0.814,0.0,0.482,Got You On My Mind,4.0
006ATYzgynEKIPgVaT5LQM,169.362,world-music,166746.0,0.00504,-36.082,0.991,Frecuencias Curativas Solfeggio 528 Hz,World,0.965,0.101,Mc_team,24.0,0.0494,0.0865,0.0,0.138,528Hz Energía curativa profunda,5.0
006Bi4j0yzwOc3y69GOlYV,119.902,hard-rock,193200.0,0.596,-10.169,0.00036,Da Lama Ao Caos,Rock,0.00788,0.13,Chico Science;Nação Zumbi,36.0,0.0333,0.675,1.0,0.704,Computadores Fazem Arte,7.0
006c9li2Mybyg5vm6doEfO,174.002,drum-and-bass,249696.0,0.898,-4.475,0.00112,Electric Sun,Electronic,0.0703,0.373,Logistics;Zara Kershaw,16.0,0.0452,0.479,0.0,0.0394,Finish Line,2.0
006rHBBNLJMpQs8fRC2GDe,125.059,forro,260510.0,0.678,-3.257,0.642,CP 25 Anos (Ao Vivo em Aracaju),Latin,0.0,0.157,Calcinha Preta;Gusttavo Lima,47.0,0.0311,0.605,1.0,0.439,Agora Estou Sofrendo - Ao Vivo,0.0
006tmNZLXEXPqdb23wwSN1,127.184,j-pop,358173.0,0.568,-9.199,0.652,Bezginin Gizli Mektupları,Pop,0.0,0.834,İlhan İrem,44.0,0.0417,0.486,0.0,0.65,Yemyeşil Bir Deniz,9.0
0072MKNpMeJNx8aRfTNfQW,93.963,indian,261439.0,0.665,-4.244,0.607,Holiday - A Soldier Is Never Off Duty (Original Motion Picture Soundtrack),World,1.33e-05,0.0832,Pritam;Arijit Singh,58.0,0.049,0.604,1.0,0.702,Shaayraana,2.0
007NMTR9MQrqwCmbjNSjKj,99.98,children,218026.0,0.213,-13.334,0.715,Queen For Babies,Kids,0.0305,0.123,Sweet Little Band,30.0,0.0373,0.555,1.0,0.519,Somebody To Love,8.0
007t1Fel5tcxHOEfSYWuGM,71.967,j-rock,198243.0,0.613,-6.304,0.142,Ve MFÖ,Rock,0.0,0.295,MFÖ,33.0,0.114,0.693,0.0,0.764,Bu Aşk Olur Mu,4.0
007ufdfvS8NxnwuwSkOdw4,94.972,power-pop,160425.0,0.985,-1.845,0.00874,Sick Sesh!,Pop,1.2e-06,0.137,Teenage Bottlerocket,24.0,0.0844,0.564,1.0,0.446,Never Sing Along,7.0
0084XCqFNqZ5K8DliXVSXh,58.36,comedy,249180.0,0.938,-5.226,0.785,War Paint,Spoken,0.0,0.848,Iliza Shlesinger,24.0,0.95,0.585,0.0,0.347,It's a Prison Workout,7.0
008KWijTsFnZRK3E7oGNxl,109.927,pagode,467669.0,0.856,-5.56,0.423,"Belo In Concert, Ep. 02 (Ao Vivo)",Latin,3.4e-05,0.936,Belo,49.0,0.0678,0.425,1.0,0.669,Derê / Vício / Nuvem - Ao Vivo,2.0
008MceT31RotUANsKuzy3L,128.041,pop,228565.0,0.794,-5.644,0.000761,Liquid Blue,Pop,0.132,0.322,The.madpix.project,24.0,0.054,0.659,0.0,0.852,Liquid Blue,10.0
008rk8F6ZxspZT4bUlkIQG,129.884,pop,236308.0,0.838,-6.3,0.114,Fever,Pop,0.000697,0.0881,YOSA & TAAR,38.0,0.0499,0.662,1.0,0.496,Fever,1.0
009DZE5shRgOEnMD47h9uW,86.692,romance,143771.0,0.356,-15.446,0.293,Гелена Великанова (2021 Remastered Version),Mood,0.0,0.0648,Gelena Velikanova,0.0,0.26,0.493,0.0,0.738,Я не тороплюсь - 2021 Remastered Version,9.0
009MGoCC568mI1yvsbmTxw,97.964,study,128984.0,0.503,-7.887,0.75,Guessing Game,Ambient/Chill,0.788,0.293,Justnormal,8.0,0.0716,0.805,1.0,0.515,Park Bench,0.0
00At7PWydsvg7g5xgaYan9,173.996,drum-and-bass,195949.0,0.926,-2.44,0.272,All I Know EP (feat. Luke Bingham),Electronic,0.00315,0.0443,Matrix & Futurebound;Luke Bingham,47.0,0.0491,0.505,0.0,0.805,All I Know - M&F's Rolling Out Radio Mix,1.0
00B7SBwrjbycLMOgAmeIU8,120.984,alt-rock,251588.0,0.71,-5.55,0.00745,Return of the Dream Canteen,Rock,0.00559,0.147,Red Hot Chili Peppers,66.0,0.0599,0.663,0.0,0.487,Reach Out,11.0
00BHbc5GB5d35gsi8IsmZl,126.61,afrobeat,231893.0,0.803,-5.523,0.438,Sus primeras grabaciones 1992-1994 (La luz que sabe robar- Radar),World,4.58e-05,0.165,Jorge Drexler,17.0,0.0327,0.623,0.0,0.645,No te creas,1.0
00BWHAHghYsZzxfqS6P9vg,114.988,black-metal,356343.0,0.933,-6.358,1.76e-06,Zenith,Metal,0.845,0.185,Imperialist,21.0,0.0576,0.177,1.0,0.0922,Terminal Odyssey,4.0
00BYitnjj9tACCkLapk5uS,161.465,grunge,144333.0,0.844,-6.656,0.000212,Neon Ballroom,Rock,0.00497,0.172,Silverchair,25.0,0.0725,0.345,1.0,0.384,Satin Sheets,0.0
00BxnRDndJwA67Rvi7iqUC,97.211,opera,219200.0,0.162,-10.586,0.896,A Family Christmas,Classical,2.86e-06,0.103,Andrea Bocelli;Matteo Bocelli;Virginia Bocelli,0.0,0.0329,0.377,1.0,0.326,When Christmas Comes To Town,6.0
00C0DktT4pif6k7pVghYuI,88.933,show-tunes,83200.0,0.145,-21.074,0.97,Pocahontas,Soundtrack,0.956,0.109,Alan Menken,28.0,0.05,0.166,1.0,0.144,"The Warriors Arrive - From ""Pocahontas""/Score",4.0
00C93bsNIjHStKvr1lPJee,85.991,heavy-metal,242066.0,0.95,-6.017,0.000897,Steelfactory,Metal,0.00374,0.336,U.D.O.,20.0,0.0418,0.42,0.0,0.501,Keeper of My Soul,6.0
00CAvtdfEEtWRkEN6Km2AW,150.087,study,120000.0,0.375,-10.912,0.598,Testify,Ambient/Chill,0.818,0.0944,Maj Majid,37.0,0.0545,0.671,0.0,0.0635,Mountains,4.0
00CKqQSBhAr2gePvyIzk0P,132.107,heavy-metal,287293.0,0.414,-10.914,0.0276,True At Heart,Metal,0.0,0.155,Doro,38.0,0.027,0.563,1.0,0.193,Even Angels Cry,10.0
00Coyxt9mTec1acC52qtWa,111.961,k-pop,225817.0,0.735,-3.703,0.0786,Twenty-Five Twenty-One OST Part 1,Pop,0.0,0.101,TAEIL,62.0,0.0302,0.643,1.0,0.502,Starlight,2.0
00CsDW3I9XueUvaXnAvGMm,127.997,progressive-house,279374.0,0.892,-5.507,0.000317,REBELS NEVER DIE,Electronic,0.842,0.915,Hardwell,52.0,0.0762,0.625,1.0,0.0382,F*CKING SOCIETY,9.0
00DuOxungwHwVUX2m37P0P,140.354,acoustic,181786.0,0.264,-11.171,0.918,What You Need,Folk/Country,0.000253,0.237,Chord Overstreet,53.0,0.0601,0.519,1.0,0.192,What You Need,0.0
00EAiVX99rZ4rlYFLItPcC,170.019,anime,247306.0,0.964,-3.35,0.015,声?,Soundtrack,0.0,0.207,はてな,52.0,0.0902,0.42,1.0,0.584,声?,5.0
00EAqLJcJP8IAzOmJ9q5g8,116.745,ambient,211813.0,0.202,-13.684,0.953,Heiress,Ambient/Chill,0.194,0.111,Novo Amor;Ed Tullett;Lowswimmer,47.0,0.0314,0.338,1.0,0.128,Amateur Blood,1.0
00EFWaqXnHZ5smJNsHtnGV,170.017,dubstep,290823.0,0.745,-6.149,0.422,Find Another Way,Electronic,0.000872,0.098,Seven Lions;HALIENE,43.0,0.0451,0.394,1.0,0.193,What’s Done Is Done,8.0
00EqiscplImrxqlRb4VMsZ,110.001,iranian,246533.0,0.841,-8.419,2.76e-06,No More Room in Hell,World,0.94,0.162,Integral Rigor,0.0,0.0385,0.536,1.0,0.481,Captured by Curse,1.0
00EsQxsJv6vy7hEQN3jZWG,149.956,singer-songwriter,196800.0,0.451,-8.009,0.204,To All The Boys: Always and Forever (Music From The Netflix Film),Folk/Country,0.0,0.149,Leah Nobel,52.0,0.0279,0.457,1.0,0.307,"Beginning Middle End - Always and Forever Mix)(From The Netflix Film ""To All The Boys: Always and Forever""",2.0
00FDHurakzVEiPutdUxXXq,97.007,synth-pop,277053.0,0.705,-8.529,0.169,Human Racing,Pop,0.0139,0.0698,Nik Kershaw,65.0,0.0285,0.655,0.0,0.749,Wouldn't It Be Good,2.0
00FR9VQ0uzF4NNxVKKiMz2,145.461,r&b,289227.0,0.616,-8.747,0.453,Ghetto Cyrano,Hip-Hop/R&B,0.0,0.916,Christión,41.0,0.284,0.389,0.0,0.716,Full Of Smoke,1.0
00FROhC5g4iJdax5US8jRr,87.261,r&b,286441.0,0.594,-10.05,0.591,Forever,Hip-Hop/R&B,0.0,0.145,Diddy,52.0,0.185,0.764,1.0,0.695,Satisfy You,6.0
